dates,mean,var,stdev,Q5,Q25,Q75,Q95
10/21/20,0,0,0,0,0,0,0
10/22/20,0,0,0,0,0,0,0
10/23/20,0,0,0,0,0,0,0
10/24/20,0,0,0,0,0,0,0
10/25/20,0,0,0,0,0,0,0
10/26/20,0,0,0,0,0,0,0
10/27/20,0,0,0,0,0,0,0
10/28/20,0,0,0,0,0,0,0
10/29/20,0,0,0,0,0,0,0
10/30/20,1.044498405,1.034606612,1.017156139,-0.628723445,0.357918011,1.731078799,2.717720254
10/31/20,2.901184362,2.855384509,1.689788303,0.121482604,1.760577258,4.041791467,5.680886121
11/1/20,5.332180133,5.216464379,2.283958051,1.575069139,3.790508449,6.873851818,9.089291127
11/2/20,9.974758435,9.631564066,3.103476126,4.869540208,7.87991205,12.06960482,15.07997666
11/3/20,16.36735142,15.62922676,3.953381687,9.864038549,13.69881879,19.03588406,22.8706643
11/4/20,23.78635211,22.52124134,4.745654996,15.97974964,20.58303499,26.98966923,31.59295458
11/5/20,32.49660845,30.58440972,5.530317325,23.39923645,28.76364425,36.22957264,41.59398045
11/6/20,42.91509284,40.22204565,6.342085276,32.48236256,38.63418528,47.1960004,53.34782312
11/7/20,54.35047242,50.76818401,7.125179577,42.62955201,49.5409762,59.15996863,66.07139282
11/8/20,66.94981492,62.3691333,7.897413077,53.95857041,61.61906109,72.28056875,79.94105943
11/9/20,81.02911613,75.32991194,8.679280612,66.75169952,75.17060171,86.88763054,95.30653273
11/10/20,96.15530498,89.25646185,9.447563805,80.61406252,89.77819941,102.5324105,111.6965474
11/11/20,112.3234799,104.1695007,10.2063461,95.53404055,105.4341963,119.2127635,129.1129192
11/12/20,129.4092878,119.9395327,10.95169086,111.3937564,122.0168965,136.8016792,147.4248193
11/13/20,147.4018038,136.5435339,11.68518438,128.1796755,139.5143043,155.2893032,166.6239321
11/14/20,167.2007403,154.8632868,12.44440785,146.7296894,158.800765,175.6007156,187.6717913
11/15/20,187.8098864,173.9388535,13.188588,166.1146592,178.9075895,196.7121834,209.5051137
11/16/20,207.4809827,192.0754309,13.85912807,184.682717,198.1260712,216.8358941,230.2792483
11/17/20,229.3726802,212.3591288,14.57254709,205.4008403,219.5362109,239.2091495,253.3445202
11/18/20,252.6056899,233.9132608,15.29422312,227.4466929,242.2820893,262.9292905,277.764687
11/19/20,274.0017254,253.7371921,15.9291303,247.7983061,263.2495625,284.7538884,300.2051448
11/20/20,297.2660874,275.3769442,16.59448535,269.968159,286.0648098,308.467365,324.5640158
11/21/20,321.6006997,298.0015491,17.26272137,293.203523,309.9483627,333.2530366,349.9978763
11/22/20,344.1240806,318.8474904,17.85630114,314.7504653,332.0710774,356.1770839,373.497696
11/23/20,366.6083351,339.6793393,18.43039173,336.2903407,354.1678207,379.0488495,396.9263295
11/24/20,388.7078949,360.174398,18.9782612,357.4886552,375.8975686,401.5182212,419.9271346
11/25/20,409.8025336,379.853682,19.48983535,377.7417545,396.6468948,422.9581725,441.8633128
11/26/20,432.0495311,400.7866359,20.01965624,399.1171966,418.5362631,445.5627991,464.9818656
11/27/20,454.1374587,421.6095997,20.53313419,420.3604529,440.2775931,467.9973242,487.9144644
11/28/20,476.8709787,442.9761424,21.04699842,442.2486663,462.6642548,491.0777027,511.4932911
11/29/20,499.7309249,464.2932545,21.54746515,464.2853447,485.1863859,514.2754639,535.1765051
11/30/20,521.3590786,484.3711647,22.00843394,485.1552047,506.5033857,536.2147715,557.5629524
12/1/20,537.8402325,499.5192527,22.34992735,501.074602,522.7540315,552.9264334,574.6058629
12/2/20,550.9478511,511.6183459,22.61898198,513.7396257,535.6800382,566.2156639,588.1560764
12/3/20,565.4728884,525.3308217,22.92009646,527.7693297,550.0018233,580.9439535,603.1764471
12/4/20,579.9636744,539.1812594,23.2202769,541.7663189,564.2899875,595.6373613,618.1610299
12/5/20,593.9040256,552.6092866,23.50764315,555.2339526,578.0363664,609.7716847,632.5740985
12/6/20,610.2058149,568.204512,23.83704076,570.9938829,594.1158124,626.2958174,649.4177469
12/7/20,627.7594332,584.7951572,24.18253827,587.9791577,611.4362199,644.0826465,667.5397087
12/8/20,645.4763932,601.3513993,24.52246723,605.1369346,628.9237278,662.0290586,685.8158518
12/9/20,661.618722,616.3505633,24.82640859,620.7792799,644.8608962,678.3765478,702.4581641
12/10/20,676.5772964,630.2430167,25.10464134,635.2801614,659.6316635,693.5229293,717.8744314
12/11/20,690.3374994,643.022075,25.35787994,648.6237869,673.2209305,707.4540684,732.0512119
12/12/20,703.9074285,655.6891506,25.60642792,661.7848545,686.6230896,721.1917673,746.0300024
12/13/20,716.3975387,667.3461039,25.83304287,673.9021832,698.9602348,733.8348426,758.8928942
12/14/20,728.6694736,678.83971,26.05455258,685.8097346,711.0826506,746.2562966,771.5292126
12/15/20,741.8634867,691.2027601,26.29073525,698.6152272,724.1172404,759.609733,785.1117462
12/16/20,753.0060212,701.5675624,26.48712069,709.4347076,735.1272147,770.8848276,796.5773347
12/17/20,764.10863,711.9302213,26.68202056,720.2167061,746.0982661,782.1189938,808.0005538
12/18/20,777.1914102,724.2852512,26.91254821,732.9202684,759.0254402,795.3573803,821.462552
